,label
1389,2
1529,2
1973,2
1253,0
18,2
2440,3
1065,1
1743,1
2637,3
1627,2
2548,2
2841,0
441,0
1311,0
2799,2
1254,2
1955,2
1936,0
1573,1
1770,2
751,2
1894,3
1837,3
2617,3
1790,3
187,1
641,3
803,0
620,0
2021,2
1899,1
978,3
2401,1
432,3
220,0
1862,1
918,3
1272,1
1038,1
818,0
2736,0
563,3
2052,3
101,1
1802,3
1262,0
191,2
1656,3
450,1
2168,2
1435,1
2795,1
2163,2
427,2
333,3
2616,0
2880,0
2747,3
2050,3
2067,0
7,3
1498,0
2731,1
1279,1
2571,3
2200,1
1829,2
1273,0
2192,3
1858,1
1822,1
242,2
547,2
2133,0
446,0
1126,0
1379,2
395,3
2523,1
204,1
2447,2
2359,0
513,1
2435,2
2637,1
1584,3
610,1
1681,1
1976,1
67,2
2566,2
2747,2
1211,1
1560,2
434,0
537,0
2268,3
868,1
623,0
1261,2
2131,3
188,2
1658,0
2666,3
1735,2
197,1
408,1
1022,3
1303,1
1986,1
1059,3
1337,0
1853,0
128,0
842,2
1439,1
2233,2
2128,0
1275,3
199,3
681,3
2674,3
2458,3
1977,0
2772,2
2196,2
1179,1
1310,2
1854,3
261,0
1009,0
316,0
310,2
413,1
1698,2
1488,0
434,3
405,2
2705,1
2069,2
86,0
545,2
2549,1
1021,0
1626,0
2311,0
1047,1
1187,0
1855,3
36,0
837,1
164,1
2202,3
1292,0
1822,0
1442,1
2594,2
1567,2
1013,3
2656,0
595,3
746,1
986,2
1401,3
1145,1
2468,1
1726,2
1112,1
17,2
1597,0
2392,3
1415,1
928,1
577,2
2297,0
96,2
647,3
2931,2
2488,3
571,3
1875,0
91,0
1063,1
1170,3
151,0
1560,1
8,3
1262,1
2686,0
811,3
2668,2
1182,2
2898,3
1073,2
27,2
1762,3
700,0
1292,1
352,1
1836,0
907,2
2270,3
2193,1
1511,1
2212,2
1610,3
592,0
413,0
1415,2
2639,2
526,2
1924,1
1391,0
1174,0
1999,2
170,1
1409,3
984,0
1962,0
2591,0
2593,2
565,3
956,2
1031,3
1698,0
1500,2
6,2
